source,titre,prix,quartier,chambres,salles_de_bain,surface_m2,meuble,vue_mer,neuf,lien,surface_estimee,quartier_score
loger-dakar,Point E appartement F4 3 chambres salon à louer,1000000.0,Point E,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/point-e-appartement-f4-3-chambres-salon-a-louer/,1,1003072.2891566266
loger-dakar,Mermoz Sotrac villa R+2 à louer 5 chambres salon,1300000.0,Mermoz,5.0,4.0,220.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/mermoz-sotrac-villa-r2-a-louer-5-chambres-salon/,1,1032668.5082872928
loger-dakar,À louer – Belle villa meublée 6 chb à saly,300000.0,Autre,6.0,6.0,260.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/a-louer-belle-villa-meublee-6-chb-a-saly/,1,639511.9856115108
loger-dakar,Bel appartement meublé F2 à louer au point E,1000000.0,Point E,1.0,1.0,60.0,1.0,0.0,0.0,https://www.loger-dakar.com/Bien/bel-appartement-meuble-f2-a-louer-au-point-e-7/,1,1003072.2891566266
loger-dakar,Bel appartement F4 neuf à louer à Sud Foire sur la vdn,750000.0,Autre,3.0,3.0,140.0,0.0,0.0,1.0,https://www.loger-dakar.com/Bien/bel-appartement-f4-neuf-a-louer-a-sud-foire-sur-la-vdn/,1,639511.9856115108
loger-dakar,Almadies très belle appartement F4 vue sur mer à louer,1500000.0,Almadies,3.0,3.0,140.0,0.0,1.0,0.0,https://www.loger-dakar.com/Bien/almadies-tres-belle-appartement-f4-vue-sur-mer-a-louer/,1,1074463.5443349753
loger-dakar,Sotrac Mermoz appartement 2 chambres salon à louer,525000.0,Mermoz,2.0,2.0,100.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/sotrac-mermoz-appartement-2-chambres-salon-a-louer-4/,1,1032668.5082872928
loger-dakar,Corniche des mamelles,2200000.0,Mamelles,5.0,5.0,220.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/corniche-des-mamelles/,1,622633.1707317074
loger-dakar,Fan résidence,1200000.0,Autre,3.0,3.0,140.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/fan-residence/,1,639511.9856115108
loger-dakar,Virage magnifique villa à louer,2500000.0,Ngor,5.0,5.0,220.0,0.0,0.0,0.0,https://www.loger-dakar.com/Bien/virage-magnifique-villa-a-louer/,1,799681.1320754717
